,Method,Min/Max,Rep,Question,Norm_MSE,Det,MSE,Hitrate,Prob. Sel,Mu_1,Mu_2,Mu_3,Mu_4,Mu_5,Mu_6,True_1,True_2,True_3,True_4,True_5,True_6
61,0.0,0.0,4.0,13.0,0.05324430480888378,0.0031285563272269007,0.46059478930553066,0.8241758241758241,0.92,0.9268853791075955,1.9942665117817717,1.575874497695113,0.9866135206674503,0.9991576315959778,-0.30729596859811925,0.9067747842017249,0.7109209970212709,1.4399248886470086,1.382623927501284,0.7550819846633914,0.6314846924741195
62,0.0,0.0,4.0,14.0,0.05743431767871163,0.0023578064488992455,0.49868927165481686,0.8241758241758241,0.92,1.0762559909517773,2.114104399636562,1.44737442200342,0.8581855547325719,1.001793160378962,-0.18001428011299336,0.9067747842017249,0.7109209970212709,1.4399248886470086,1.382623927501284,0.7550819846633914,0.6314846924741195
63,0.0,0.0,4.0,15.0,0.04441437615197349,0.0016765221739726672,0.44233527460032634,0.8241758241758241,0.92,0.9576131901280394,2.08986093140695,1.6278066821746577,1.0106732408362793,1.1807926290904531,0.00293451387816282,0.9067747842017249,0.7109209970212709,1.4399248886470086,1.382623927501284,0.7550819846633914,0.6314846924741195
64,0.0,0.0,4.0,16.0,0.045273083154778904,0.0013774064599748074,0.4382423418285088,0.8241758241758241,0.92,1.0558382173151415,1.9724364861689767,1.5951383966072734,0.9864170288343169,1.2677939566094647,-0.12473492426328095,0.9067747842017249,0.7109209970212709,1.4399248886470086,1.382623927501284,0.7550819846633914,0.6314846924741195
65,0.0,0.0,5.0,1.0,0.030006440419036565,0.5759238594088948,0.1907472613370774,0.8818681318681318,0.92,0.734144105265307,0.734144105265307,1.265855894734693,0.734144105265307,1.265855894734693,1.265855894734693,0.9067747842017249,0.7109209970212709,1.4399248886470086,1.382623927501284,0.7550819846633914,0.6314846924741195
66,0.0,0.0,5.0,2.0,0.02037359565997294,0.3646293951325868,0.13472086073234096,0.8818681318681318,0.92,0.4312913504642276,0.734144105265307,1.5687086495357723,1.0369968600663864,0.9630031399336135,1.265855894734693,0.9067747842017249,0.7109209970212709,1.4399248886470086,1.382623927501284,0.7550819846633914,0.6314846924741195
67,0.0,0.0,5.0,3.0,0.010593349434167815,0.2168721662078516,0.07639491544422396,0.8818681318681318,0.92,0.7133531322069298,0.4252106222403895,1.8279902322632053,1.2197548412141197,0.7802451587858801,1.0334460132894752,0.9067747842017249,0.7109209970212709,1.4399248886470086,1.382623927501284,0.7550819846633914,0.6314846924741195
68,0.0,0.0,5.0,4.0,0.017432366522513523,0.12687745575417533,0.13008052235275616,0.8818681318681318,0.92,0.9150395142863289,0.7061048745327347,2.1115843942330983,0.8769165287548335,0.5652496302241121,0.8251050579688917,0.9067747842017249,0.7109209970212709,1.4399248886470086,1.382623927501284,0.7550819846633914,0.6314846924741195
69,0.0,0.0,5.0,5.0,0.01795561486437369,0.07925481192072457,0.14584800230865128,0.8818681318681318,0.92,1.1660215496974708,0.6914213716192498,1.894016447923956,1.0654752177034124,0.30775069057234644,1.1797648745296898,0.9067747842017249,0.7109209970212709,1.4399248886470086,1.382623927501284,0.7550819846633914,0.6314846924741195
70,0.0,0.0,5.0,6.0,0.0059242149273327485,0.049415220106204985,0.07566950741666857,0.8818681318681318,0.92,1.3256618220270975,0.8985367953901526,1.7623065050402897,1.3043275254063165,0.6052644215402673,0.964419326981842,0.9067747842017249,0.7109209970212709,1.4399248886470086,1.382623927501284,0.7550819846633914,0.6314846924741195
71,0.0,0.0,5.0,7.0,0.012969759604948975,0.03286393787980608,0.12887306960769965,0.8818681318681318,0.92,1.5663346281223047,0.6294242224040602,1.9079894647820215,1.1005288881313875,0.6406692529907574,0.7722865881371498,0.9067747842017249,0.7109209970212709,1.4399248886470086,1.382623927501284,0.7550819846633914,0.6314846924741195
72,0.0,0.0,5.0,8.0,0.019076292086774572,0.021283442266721932,0.19110815185557548,0.8818681318681318,0.92,1.4410282629089872,0.8950471148758863,2.080281875350199,0.929848055289795,0.4383907224971584,0.9660938494580906,0.9067747842017249,0.7109209970212709,1.4399248886470086,1.382623927501284,0.7550819846633914,0.6314846924741195
73,0.0,0.0,5.0,9.0,0.011744286804604,0.013898232884240283,0.14771848114200195,0.8818681318681318,0.92,1.2443624046756956,0.7703831519365618,2.2593903986919748,1.1439699899525129,0.6197186192203183,0.7798325024434605,0.9067747842017249,0.7109209970212709,1.4399248886470086,1.382623927501284,0.7550819846633914,0.6314846924741195
74,0.0,0.0,5.0,10.0,0.015220260067700943,0.009483358541090395,0.1545935934660154,0.8818681318681318,0.92,1.0394977920353672,0.6201162729683377,2.3159476237923515,1.283369537196438,0.40495297617038206,0.5885536197791379,0.9067747842017249,0.7109209970212709,1.4399248886470086,1.382623927501284,0.7550819846633914,0.6314846924741195
75,0.0,0.0,5.0,11.0,0.02193095738118969,0.006657063437100487,0.20100910302602534,0.8818681318681318,0.92,0.8609033673475844,0.8447094426543904,2.4110791270512673,1.1392234433418147,0.4171449599318384,0.36792198657097874,0.9067747842017249,0.7109209970212709,1.4399248886470086,1.382623927501284,0.7550819846633914,0.6314846924741195
76,0.0,0.0,5.0,12.0,0.02389376165090537,0.004952568902686362,0.2177602437537427,0.8818681318681318,0.92,0.6943151256932214,1.032144535060826,2.3789912940010014,1.166057509074645,0.5747890843136654,0.18765416460663617,0.9067747842017249,0.7109209970212709,1.4399248886470086,1.382623927501284,0.7550819846633914,0.6314846924741195
77,0.0,0.0,5.0,13.0,0.018637555558895035,0.003521677689757275,0.20180791646165694,0.8818681318681318,0.92,0.5579479084143107,1.1952975974902267,2.31557766053721,1.3535787128827197,0.7188389990842026,0.33887289674205007,0.9067747842017249,0.7109209970212709,1.4399248886470086,1.382623927501284,0.7550819846633914,0.6314846924741195
78,0.0,0.0,5.0,14.0,0.017653489579443897,0.002561109567207425,0.21573668234604326,0.8818681318681318,0.92,0.7055861759660224,1.0886742595824872,2.476430785280422,1.2541804965226233,0.6544438077163869,0.5301166539206659,0.9067747842017249,0.7109209970212709,1.4399248886470086,1.382623927501284,0.7550819846633914,0.6314846924741195
79,0.0,0.0,5.0,15.0,0.015570135256572644,0.001968773303568657,0.2102614285100541,0.8818681318681318,0.92,0.83655670426975,1.2293928460025862,2.3956944225503833,1.3675584334459834,0.6205026476930927,0.39486059155344405,0.9067747842017249,0.7109209970212709,1.4399248886470086,1.382623927501284,0.7550819846633914,0.6314846924741195
